epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,633.377,0.14023,0.22832,0.85856,0.99342,1,0.995,0.995,0.20068,0.22977,0.59456,0.00081708,0.00081708,0.00081708
105,639.297,0.14014,0.25254,0.87722,0.99277,1,0.995,0.995,0.20483,0.24022,0.58684,0.000808828,0.000808828,0.000808828
106,645.026,0.13048,0.21132,0.89097,0.99121,1,0.995,0.995,0.21383,0.28247,0.59524,0.000800577,0.000800577,0.000800577
107,650.753,0.13905,0.22973,0.85944,0.98913,1,0.995,0.9866,0.20396,0.31935,0.58378,0.000792325,0.000792325,0.000792325
108,656.496,0.14471,0.21412,0.90113,0.98805,1,0.995,0.995,0.18373,0.28998,0.55902,0.000784073,0.000784073,0.000784073
109,662.247,0.12552,0.20342,0.8667,0.99156,1,0.995,0.995,0.17208,0.23211,0.54859,0.000775822,0.000775822,0.000775822
110,668.045,0.1197,0.20153,0.85591,0.99319,1,0.995,0.995,0.16259,0.20008,0.54295,0.00076757,0.00076757,0.00076757
111,674.193,0.13679,0.22257,0.87718,0.99368,1,0.995,0.995,0.13977,0.20141,0.52785,0.000759318,0.000759318,0.000759318
112,680.901,0.11743,0.20548,0.88001,0.99416,1,0.995,0.995,0.13558,0.18549,0.52369,0.000751067,0.000751067,0.000751067
113,686.976,0.11926,0.20745,0.8817,0.99356,1,0.995,0.995,0.13647,0.1852,0.52386,0.000742815,0.000742815,0.000742815
114,693.067,0.1175,0.20849,0.87518,0.9927,1,0.995,0.995,0.13459,0.18572,0.51972,0.000734564,0.000734564,0.000734564
115,698.762,0.11253,0.20912,0.86904,0.99278,1,0.995,0.995,0.13569,0.21845,0.51297,0.000726312,0.000726312,0.000726312
116,704.486,0.11085,0.18699,0.84049,0.99363,1,0.995,0.995,0.13283,0.20222,0.50612,0.00071806,0.00071806,0.00071806
